Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
5,49,0,7,5,-1.000687233463315
2,48,1,7,6,-1.573258056987953
2,81,0,7,2,0.1965063066336557
2,46,0,6,1,-1.7294137361310362
8,47,0,9,0,-0.7924796612725374
3,56,0,4,4,-1.1568429126063982
3,51,1,4,1,-1.3129985917494813
9,93,1,5,2,1.7580630980644871
4,61,1,6,5,-0.4801683029863712
4,96,1,8,0,1.4457517397783208
9,71,0,4,6,0.4047138788244332
5,49,0,6,5,-1.1568429126063982
4,61,1,8,9,-0.4801683029863712
6,82,0,5,8,0.7170252371105995
2,97,0,5,8,1.0813884884444602
2,47,1,9,3,-1.573258056987953
1,84,1,8,4,0.4047138788244332
4,65,1,8,7,-0.3760645168909824
8,40,0,4,0,-1.5212061639402588
9,69,0,9,9,0.4567657718721276
9,40,0,6,5,-0.8965834473679262
5,52,1,6,5,-1.000687233463315
6,44,1,8,0,-1.000687233463315
4,48,0,7,0,-1.4691542708925645
3,40,0,8,8,-1.9376213083218137
5,81,1,5,9,0.5608695579675164
2,61,1,6,6,-0.9486353404156206
9,50,1,6,2,-0.4801683029863712
6,92,1,6,1,1.2895960606352377
4,64,0,7,0,-0.5322201960340656
4,68,1,5,3,-0.11580505165251055
1,84,0,5,6,0.3006100927290445
1,99,0,7,3,0.9772847023490714
6,69,1,6,5,0.2485581996813501
2,57,0,6,3,-1.3129985917494813
4,48,0,4,4,-1.2609466987017868
9,65,0,7,4,0.2485581996813501
5,61,0,6,7,-0.3760645168909824
5,82,0,9,5,0.5608695579675164
7,95,1,6,3,1.7580630980644871
8,69,0,9,6,0.3006100927290445
9,82,0,8,4,1.2895960606352377
6,61,1,5,1,-0.42811640993867683
1,47,1,9,3,-1.7814656291787305
6,43,0,7,1,-1.3129985917494813
6,59,1,4,8,-0.5322201960340656
3,82,0,9,2,0.35266198577673885
1,87,1,9,4,0.4567657718721276
6,53,0,5,6,-0.7924796612725374
2,84,0,6,8,0.3006100927290445
3,87,1,4,4,0.5088176649198219
2,50,1,8,7,-1.677361843083342
6,46,0,4,2,-1.0527391265110093
8,47,1,5,9,-0.6363239821294543
6,50,0,5,3,-1.000687233463315
2,59,1,6,5,-0.7924796612725374
2,60,0,7,9,-1.0527391265110093
4,40,1,6,5,-1.7814656291787305
4,72,1,5,3,0.04035062749057258
1,45,1,7,1,-1.833517522226425
3,78,0,5,6,0.09240252053826696
8,76,1,8,9,0.7170252371105995
1,57,1,8,0,-1.4691542708925645
3,41,1,4,1,-2.093776987464897
1,93,0,7,3,0.7170252371105995
9,54,0,9,8,-0.2199088377478993
8,85,0,5,1,1.2895960606352377
7,61,1,6,8,-0.06375315860481617
2,50,1,9,5,-1.5212061639402588
2,68,0,5,9,-0.5322201960340656
9,60,0,9,1,0.3006100927290445
8,67,0,4,1,0.3006100927290445
6,47,0,4,9,-1.1568429126063982
9,74,0,5,5,0.7170252371105995
3,41,1,5,5,-1.6253099500356474
7,63,0,4,6,-0.06375315860481617
5,40,1,4,8,-1.6253099500356474
4,98,0,8,5,1.3936998467306263
6,44,0,9,0,-1.1568429126063982
1,43,1,7,0,-1.9896732013695082
3,61,1,7,3,-0.8445315543202319
1,75,0,8,8,-0.2719607307955937
9,93,0,8,6,1.9662706702552646
6,55,0,6,0,-0.58427208908176
4,53,0,9,8,-0.7924796612725374
6,89,0,8,0,1.0813884884444602
4,65,0,5,9,-0.32401262384328805
3,97,0,7,5,1.1854922745398488
3,57,1,7,8,-0.8965834473679262
8,45,0,5,6,-1.1047910195587036
5,51,1,6,4,-1.000687233463315
9,88,1,5,4,1.5498555258737094
3,67,1,9,5,-0.42811640993867683
6,94,1,7,3,1.4457517397783208
2,67,0,7,8,-0.5322201960340656
2,58,0,9,2,-1.1047910195587036
4,56,1,4,7,-0.8445315543202319
7,48,1,9,9,-0.58427208908176
8,73,0,4,1,0.5608695579675164
9,87,0,8,7,1.3936998467306263
2,57,0,6,7,-1.1047910195587036
1,92,0,4,6,0.3006100927290445
5,85,0,8,5,1.0293365953967657
2,68,0,6,4,-0.5322201960340656
7,47,0,4,4,-0.8965834473679262
8,41,1,8,1,-1.0527391265110093
3,58,1,6,1,-0.740427768224843
1,66,0,8,2,-0.7924796612725374
8,44,1,9,4,-1.0527391265110093
9,87,1,4,5,1.5498555258737094
9,98,0,5,9,1.9662706702552646
4,41,1,5,7,-1.677361843083342
4,56,1,8,3,-0.8965834473679262
4,46,1,7,0,-1.3129985917494813
7,85,0,9,3,0.9772847023490714
9,52,1,5,0,-0.32401262384328805
9,75,1,6,7,0.925232809301377
2,45,1,4,5,-1.7294137361310362
7,85,0,8,5,1.0813884884444602
4,99,0,8,4,1.4978036328260151
3,73,1,6,3,-0.11580505165251055
2,85,1,4,7,0.4567657718721276
4,93,0,7,9,1.1854922745398488
7,53,0,6,6,-0.5322201960340656
5,67,0,9,9,-0.06375315860481617
7,40,0,6,1,-1.3650504847971756
6,46,0,6,2,-1.1568429126063982
3,83,1,6,4,0.4047138788244332
6,86,0,9,5,1.0813884884444602
1,46,1,6,4,-1.9896732013695082
9,73,0,7,8,0.6649733440629051
2,79,1,5,3,0.04035062749057258
1,49,1,9,4,-1.573258056987953
4,41,0,7,0,-1.677361843083342
7,79,1,4,2,0.6129214510152108
4,61,0,9,3,-0.58427208908176
5,84,1,4,7,0.925232809301377
1,90,0,9,9,0.5088176649198219
4,70,1,9,1,-0.06375315860481617
8,68,0,8,7,0.6129214510152108
4,84,0,4,6,0.5088176649198219
5,44,0,6,4,-1.3650504847971756
1,83,1,6,9,0.04035062749057258
2,73,0,7,1,-0.3760645168909824
8,46,0,7,1,-0.740427768224843
4,46,0,8,5,-1.3129985917494813
8,45,1,6,4,-0.740427768224843
4,97,0,5,7,1.341647953682932
1,47,0,5,5,-1.7814656291787305
6,58,1,6,8,-0.4801683029863712
4,72,0,8,2,-0.16785694470020493
8,83,1,6,6,1.1854922745398488
8,97,0,9,6,2.0703744563506534
2,85,0,5,0,0.3006100927290445
5,42,0,4,0,-1.573258056987953
8,85,0,7,2,1.1854922745398488
7,81,1,4,7,0.9772847023490714
8,70,0,5,5,0.1965063066336557
6,81,1,5,3,0.7170252371105995
8,95,1,6,2,1.6539593119690983
7,97,1,5,9,1.8621668841598757
9,78,0,8,8,1.2375441675875432
5,93,1,8,6,1.2895960606352377
9,40,0,9,3,-0.8965834473679262
8,92,1,7,8,1.7580630980644871
4,69,0,7,0,-0.2719607307955937
3,66,0,9,7,-0.3760645168909824
8,86,1,7,4,1.3936998467306263
3,65,1,9,9,-0.6363239821294543
2,76,0,6,1,-0.11580505165251055
9,67,1,9,4,0.4567657718721276
6,41,0,5,1,-1.6253099500356474
9,40,1,4,4,-1.0527391265110093
5,52,1,8,0,-1.0527391265110093
3,84,0,8,3,0.4567657718721276
6,49,1,7,5,-0.9486353404156206
9,79,1,7,3,1.1854922745398488
1,50,0,4,9,-1.6253099500356474
6,73,0,8,7,0.5088176649198219
8,52,0,9,0,-0.5322201960340656
5,87,1,9,5,1.0293365953967657
1,48,1,6,7,-1.573258056987953
9,44,0,4,0,-0.8445315543202319
2,87,0,9,5,0.6129214510152108
1,64,1,9,9,-0.6883758751771487
9,94,1,7,5,2.018322563302959
5,94,0,5,6,1.341647953682932
5,92,1,5,4,1.2375441675875432
4,50,1,9,3,-1.1047910195587036
8,80,0,8,7,1.1334403814921545
4,48,1,7,8,-1.3650504847971756
7,87,0,7,8,1.2375441675875432
3,44,1,9,5,-1.6253099500356474
4,84,1,9,2,0.6129214510152108
1,70,1,8,9,-0.5322201960340656
2,67,1,7,9,-0.58427208908176
5,99,0,4,7,1.3936998467306263
6,42,0,9,5,-1.2609466987017868
5,59,1,9,0,-0.5322201960340656
9,74,0,8,5,0.9772847023490714
4,61,0,8,5,-0.58427208908176
9,54,1,6,7,-0.2199088377478993
4,97,0,4,1,1.341647953682932
1,95,1,6,0,0.6129214510152108
3,52,0,4,3,-1.2609466987017868
1,51,1,8,7,-1.5212061639402588
1,72,0,6,4,-0.2199088377478993
8,57,0,6,6,-0.2719607307955937
8,95,1,9,5,2.018322563302959
9,42,1,6,3,-0.8965834473679262
1,67,0,8,0,-0.6883758751771487
4,72,0,6,5,0.04035062749057258
9,41,0,8,5,-0.9486353404156206
4,72,1,7,0,-0.06375315860481617
6,55,1,4,4,-0.6883758751771487
1,58,1,8,4,-1.0527391265110093
4,60,0,8,1,-0.7924796612725374
7,54,1,6,4,-0.5322201960340656
1,75,1,9,5,-0.2719607307955937
5,68,1,4,8,-0.16785694470020493
8,55,0,6,3,-0.42811640993867683
6,77,1,4,2,0.5608695579675164
4,82,0,9,8,0.6129214510152108
4,87,0,7,3,0.7690771301582938
3,92,0,8,0,0.9772847023490714
9,83,1,6,9,1.5498555258737094
3,73,1,9,6,-0.16785694470020493
4,86,0,8,4,0.8211290232059882
9,56,1,5,7,-0.2719607307955937
9,63,1,5,9,0.2485581996813501
8,52,0,8,8,-0.3760645168909824
4,88,1,7,6,0.8731809162536827
9,79,0,7,7,1.1854922745398488
9,58,1,5,2,0.04035062749057258
1,51,0,7,3,-1.677361843083342
6,46,0,6,2,-1.4691542708925645
3,76,1,4,3,-0.06375315860481617
8,96,1,4,1,1.5498555258737094
9,77,1,8,4,1.1334403814921545
4,73,0,8,6,0.04035062749057258
5,70,1,8,2,-0.011701265557121794
6,66,1,4,9,0.04035062749057258
6,47,0,9,8,-1.000687233463315
3,81,1,4,8,0.4047138788244332
8,56,1,6,7,-0.16785694470020493
